spi,cpi,er,house,apt,rc
1171.00 ,100.80 ,1029.33 ,86.70 ,85.80 ,4.90 
1190.90 ,100.60 ,1046.25 ,86.70 ,85.80 ,5.20 
1253.30 ,100.20 ,1041.43 ,86.70 ,85.90 ,5.50 
1338.80 ,100.50 ,1024.15 ,86.90 ,86.10 ,5.50 
1379.30 ,101.10 ,987.03 ,87.20 ,86.50 ,5.50 
1341.70 ,101.30 ,970.22 ,87.60 ,87.00 ,5.30 
1331.70 ,101.90 ,975.09 ,88.10 ,87.70 ,5.30 
1415.90 ,102.00 ,954.44 ,88.90 ,88.60 ,5.20 
1388.80 ,102.20 ,941.40 ,89.80 ,89.70 ,5.10 
1249.20 ,102.00 ,955.16 ,90.20 ,90.20 ,5.20 
1278.00 ,102.40 ,950.15 ,90.40 ,90.40 ,5.20 
1316.10 ,103.00 ,960.72 ,90.70 ,90.60 ,5.10 
1356.50 ,103.30 ,953.68 ,91.10 ,91.00 ,5.00 
1354.00 ,102.80 ,954.23 ,92.30 ,92.30 ,4.90 
1403.90 ,102.30 ,936.22 ,95.20 ,95.90 ,5.10 
1418.80 ,102.60 ,925.75 ,97.00 ,97.90 ,5.20 
1379.30 ,102.80 ,936.36 ,97.80 ,98.90 ,5.30 
1434.90 ,103.50 ,937.02 ,98.20 ,99.20 ,5.30 
1431.60 ,104.10 ,943.26 ,98.30 ,99.30 ,5.20 
1517.10 ,104.50 ,931.50 ,98.50 ,99.30 ,5.30 
1614.90 ,104.60 ,927.91 ,98.50 ,99.20 ,5.50 
1754.30 ,104.60 ,928.32 ,98.60 ,99.20 ,5.60 
1911.60 ,105.00 ,918.85 ,98.90 ,99.40 ,5.80 
1815.00 ,105.10 ,933.80 ,99.10 ,99.50 ,5.70 
1879.00 ,105.70 ,932.41 ,99.30 ,99.60 ,5.90 
2004.60 ,105.90 ,915.86 ,99.60 ,99.80 ,6.00 
1924.80 ,105.90 ,916.98 ,99.90 ,100.00 ,6.20 
1903.60 ,106.30 ,930.24 ,100.00 ,100.00 ,6.70 
1732.30 ,106.80 ,942.39 ,100.30 ,100.20 ,6.60 
1689.50 ,107.20 ,944.69 ,100.60 ,100.40 ,6.30 
1651.20 ,108.20 ,979.86 ,101.40 ,101.00 ,6.10 
1776.60 ,108.80 ,986.66 ,102.20 ,102.00 ,5.90 
1846.80 ,109.70 ,1036.73 ,102.90 ,102.60 ,6.20 
1758.20 ,110.40 ,1029.27 ,103.50 ,103.10 ,6.70 
1569.60 ,111.20 ,1019.12 ,103.90 ,103.50 ,7.00 
